150 PA5-A-Debug-Output.txt 6
   76.6342  -37.1842   -9.9831  159.6025  -33.5672  101.9269
  -10.23    12.72    45.48       -10.23    12.72    45.48     0.000
  -13.14     8.04   -10.58       -13.14     8.04   -10.58     0.000
   -1.93   -12.11    -0.93        -1.93   -12.11    -0.93     0.000
    2.20    24.77    13.49         2.20    24.77    13.49     0.000
   25.67     1.52    52.84        25.67     1.52    52.84     0.000
   -8.10    13.27    60.78        -8.10    13.27    60.78     0.000
    0.42    -6.74    58.18         0.42    -6.74    58.18     0.000
   27.85    12.37    42.22        27.85    12.37    42.22     0.000
   13.78    13.58   -33.65        13.78    13.58   -33.65     0.000
   20.53    22.61    -0.30        20.53    22.61    -0.30     0.000
   -9.92     0.71    46.36        -9.92     0.71    46.36     0.000
   17.64     1.08   -29.30        17.64     1.08   -29.30     0.000
  -16.06     7.22    22.86       -16.06     7.22    22.86     0.000
   13.01    -5.24    65.57        13.01    -5.24    65.57     0.000
  -16.86     1.58    16.27       -16.86     1.58    16.27     0.000
  -18.36   -28.74   -32.99       -18.36   -28.74   -32.99     0.000
   30.75    -4.83   -26.42        30.75    -4.83   -26.42     0.000
    1.89    24.97     8.07         1.89    24.97     8.07     0.000
  -16.89     6.10    -4.59       -16.89     6.10    -4.59     0.000
   27.59    -1.75    38.64        27.59    -1.75    38.64     0.000
  -13.54   -25.94   -37.74       -13.54   -25.94   -37.74     0.000
  -21.09     9.16   -26.93       -21.09     9.16   -26.93     0.000
   19.87     2.90   -32.49        19.87     2.90   -32.49     0.000
   -4.01    18.28    62.97        -4.01    18.28    62.97     0.000
    5.85    -7.53    52.04         5.85    -7.53    52.04     0.000
   -8.88     1.72    58.47        -8.88     1.72    58.47     0.000
   -9.05    17.11     7.05        -9.05    17.11     7.05     0.000
  -17.93     6.39     4.07       -17.93     6.39     4.07     0.000
  -15.35     9.66   -23.01       -15.35     9.66   -23.01     0.000
   -7.09     7.94   -26.23        -7.09     7.94   -26.23     0.000
   21.13   -10.96    -2.11        21.13   -10.96    -2.11     0.000
   34.69   -10.96    -2.38        34.69   -10.96    -2.38     0.000
  -31.84   -21.79   -14.11       -31.84   -21.79   -14.11     0.000
    1.11    -7.65   -33.50         1.11    -7.65   -33.50     0.000
  -18.06     5.02    -1.56       -18.06     5.02    -1.56     0.000
   -3.19    -6.27    41.46        -3.19    -6.27    41.46     0.000
   -5.42    -4.15    59.23        -5.42    -4.15    59.23     0.000
  -28.80   -20.06   -10.13       -28.80   -20.06   -10.13     0.000
   43.14     5.31     7.75        43.14     5.31     7.75     0.000
   -4.58   -18.92   -26.82        -4.58   -18.92   -26.82     0.000
  -13.52     8.79   -31.29       -13.52     8.79   -31.29     0.000
  -14.96     9.09   -19.24       -14.96     9.09   -19.24     0.000
    3.41   -15.32   -12.80         3.41   -15.32   -12.80     0.000
  -15.25     7.04   -36.74       -15.25     7.04   -36.74     0.000
   34.49     9.98   -14.85        34.49     9.98   -14.85     0.000
  -10.56     7.62   -16.63       -10.56     7.62   -16.63     0.000
   26.70    20.90   -11.01        26.70    20.90   -11.01     0.000
    8.09    12.46   -17.57         8.09    12.46   -17.57     0.000
   -9.06   -11.07     1.28        -9.06   -11.07     1.28     0.000
   16.61   -13.86   -20.99        16.61   -13.86   -20.99     0.000
  -33.18   -10.78    -9.83       -33.18   -10.78    -9.83     0.000
   37.12    -8.69    10.18        37.12    -8.69    10.18     0.000
   -0.49    17.01    -9.00        -0.49    17.01    -9.00     0.000
   -9.02    23.58    15.75        -9.02    23.58    15.75     0.000
   23.67    -7.64    18.41        23.67    -7.64    18.41     0.000
   20.12    -3.97    63.00        20.12    -3.97    63.00     0.000
   21.16    -9.67     3.32        21.16    -9.67     3.32     0.000
   -8.80     1.43    54.16        -8.80     1.43    54.16     0.000
  -12.14    13.12     6.63       -12.14    13.12     6.63     0.000
   -4.90   -11.87    -0.22        -4.90   -11.87    -0.22     0.000
  -37.39   -10.41   -16.99       -37.39   -10.41   -16.99     0.000
   27.75     2.21    44.56        27.75     2.21    44.56     0.000
    3.02    23.30    26.05         3.02    23.30    26.05     0.000
   -4.28   -19.23   -30.66        -4.28   -19.23   -30.66     0.000
   21.99   -13.06    -6.50        21.99   -13.06    -6.50     0.000
  -27.91    -7.72    -8.11       -27.91    -7.72    -8.11     0.000
   30.61     5.13    34.62        30.61     5.13    34.62     0.000
   -2.33     0.45   -32.76        -2.33     0.45   -32.76     0.000
   22.73    21.83   -17.05        22.73    21.83   -17.05     0.000
   18.77    19.12    47.75        18.77    19.12    47.75     0.000
   -8.95     4.84    64.78        -8.95     4.84    64.78     0.000
   30.18     6.65    35.07        30.18     6.65    35.07     0.000
   24.94    -4.82   -30.46        24.94    -4.82   -30.46     0.000
   40.49    -3.05   -12.95        40.49    -3.05   -12.95     0.000
   21.98    13.25   -30.90        21.98    13.25   -30.90     0.000
  -29.53    -6.99    -9.07       -29.53    -6.99    -9.07     0.000
  -32.88   -23.74   -29.27       -32.88   -23.74   -29.27     0.000
   -4.80    20.80    52.25        -4.80    20.80    52.25     0.000
   11.88    24.66     0.94        11.88    24.66     0.94     0.000
   28.11    18.12    10.77        28.11    18.12    10.77     0.000
   17.81    -7.85    14.11        17.81    -7.85    14.11     0.000
   35.97    -9.23     1.68        35.97    -9.23     1.68     0.000
   -2.92    -7.92   -44.27        -2.92    -7.92   -44.27     0.000
  -29.05    -3.83   -39.86       -29.05    -3.83   -39.86     0.000
    9.16    10.06   -11.81         9.16    10.06   -11.81     0.000
   -4.78     5.89   -33.09        -4.78     5.89   -33.09     0.000
   25.43    15.12    49.92        25.43    15.12    49.92     0.000
   26.38    -3.18   -31.44        26.38    -3.18   -31.44     0.000
   -7.92    16.69    54.47        -7.92    16.69    54.47     0.000
  -12.12    20.42    40.63       -12.12    20.42    40.63     0.000
   14.92    23.57     5.44        14.92    23.57     5.44     0.000
  -15.93    -7.28   -45.13       -15.93    -7.28   -45.13     0.000
  -33.59     4.68   -21.03       -33.59     4.68   -21.03     0.000
   39.51     1.68    14.83        39.51     1.68    14.83     0.000
  -19.78   -29.76   -30.20       -19.78   -29.76   -30.20     0.000
   10.30    -9.54   -23.32        10.30    -9.54   -23.32     0.000
    1.95    21.64    45.74         1.95    21.64    45.74     0.000
  -36.03   -15.45   -36.12       -36.03   -15.45   -36.12     0.000
   12.43   -16.42   -11.67        12.43   -16.42   -11.67     0.000
  -10.63    -9.35     9.70       -10.63    -9.35     9.70     0.000
  -11.65    -2.86   -42.75       -11.65    -2.86   -42.75     0.000
  -13.09     8.37    -7.71       -13.09     8.37    -7.71     0.000
   24.20   -12.56    -6.26        24.20   -12.56    -6.26     0.000
   -8.89    11.95    58.53        -8.89    11.95    58.53     0.000
   17.70    -2.21    66.27        17.70    -2.21    66.27     0.000
   30.85    -9.60    12.35        30.85    -9.60    12.35     0.000
  -33.66     4.58   -25.54       -33.66     4.58   -25.54     0.000
   11.01    23.63    11.26        11.01    23.63    11.26     0.000
    8.24    23.08    17.34         8.24    23.08    17.34     0.000
  -29.37   -26.23   -23.02       -29.37   -26.23   -23.02     0.000
  -32.15     3.70   -30.51       -32.15     3.70   -30.51     0.000
   -3.32    -3.83    65.40        -3.32    -3.83    65.40     0.000
   14.52   -13.11   -20.66        14.52   -13.11   -20.66     0.000
  -13.40     9.32   -23.95       -13.40     9.32   -23.95     0.000
   25.47   -13.37   -28.84        25.47   -13.37   -28.84     0.000
   -6.44   -11.45     1.88        -6.44   -11.45     1.88     0.000
   16.30    20.54    62.17        16.30    20.54    62.17     0.000
  -30.65    -8.02    -8.80       -30.65    -8.02    -8.80     0.000
   31.22    12.80   -19.03        31.22    12.80   -19.03     0.000
   24.13    21.95    -3.61        24.13    21.95    -3.61     0.000
   -3.63   -17.33   -39.34        -3.63   -17.33   -39.34     0.000
   -7.03   -11.17     3.76        -7.03   -11.17     3.76     0.000
   33.45   -10.31   -18.20        33.45   -10.31   -18.20     0.000
   21.08    19.99    17.23        21.08    19.99    17.23     0.000
   -4.53   -20.81   -36.35        -4.53   -20.81   -36.35     0.000
   -4.28     6.02   -24.16        -4.28     6.02   -24.16     0.000
  -19.53   -24.29    -9.97       -19.53   -24.29    -9.97     0.000
   26.24    14.45    37.02        26.24    14.45    37.02     0.000
   29.57     7.79   -26.22        29.57     7.79   -26.22     0.000
  -39.43   -16.90   -33.61       -39.43   -16.90   -33.61     0.000
   27.04    10.94    52.04        27.04    10.94    52.04     0.000
   38.89     6.00    -7.97        38.89     6.00    -7.97     0.000
   20.51    18.38    52.02        20.51    18.38    52.02     0.000
   23.59   -16.99   -23.29        23.59   -16.99   -23.29     0.000
  -21.31    16.36    22.56       -21.31    16.36    22.56     0.000
   10.85    -7.70     7.79        10.85    -7.70     7.79     0.000
   26.26    21.38     2.49        26.26    21.38     2.49     0.000
    1.25    21.07    57.33         1.25    21.07    57.33     0.000
   41.33     0.41   -14.15        41.33     0.41   -14.15     0.000
  -27.18   -25.28   -36.00       -27.18   -25.28   -36.00     0.000
   25.06    -2.86    45.21        25.06    -2.86    45.21     0.000
  -10.42   -10.97   -44.66       -10.42   -10.97   -44.66     0.000
  -37.31    -2.00   -19.53       -37.31    -2.00   -19.53     0.000
    6.04   -12.91   -21.50         6.04   -12.91   -21.50     0.000
   30.84    19.18    -2.05        30.84    19.18    -2.05     0.000
   12.93   -16.68   -10.03        12.93   -16.68   -10.03     0.000
